A    aa
PSIKOFARMAKOLOGI    p s ih k ao f aa r m aa k ao l ao g ih
PSIKOFISIOLOGIS    p s ih k ao f ih s ih ao l ao g ih s
PSIKOKINESIS    p s ih k ao k ih n ## s ih s
PSIKOLEPSI    p s ih k ao l ## p s ih
PSIKOLINGUISTIK    p s ih k ao l ih ng uw ih s t ih k
PSIKOLOG    p s ih k ao l ao g
PSIKOLOGI    p s ih k ao l ao g ih
PSIKOLOGIS    p s ih k ao l ao g ih s
PSIKOMETRI    p s ih k ao m ## t r ih
PSIKOMETRIKA    p s ih k ao m ## t r ih k aa
PSIKOMOTOR    p s ih k ao m ao t ao r
PSIKOMOTORIK    p s ih k ao m ao t ao r ih k
PSIKONEUROSIS    p s ih k ao n ## uw r ao s ih s
PSIKOPAT    p s ih k ao p aa t
PSIKOPATI    p s ih k ao p aa t ih
PSIKOPATOLOGI    p s ih k ao p aa t ao l ao g ih
PSIKOSASTRA    p s ih k ao s aa s t r aa
PSIKOSEKSUAL    p s ih k ao s ## k s uw aa l
PSIKOSIS    p s ih k ao s ih s
PSIKOSOMATIK    p s ih k ao s ao m aa t ih k
PSIKOTEKNIK    p s ih k ao t ## k n ih k
PSIKOTEKNIS    p s ih k ao t ## k n ih s
PSIKOTERAPI    p s ih k ao t ## r aa p ih
PSIKOTES    p s ih k ao t ## s
PSIKOTROPIKA    p s ih k ao t r ao p ih k aa
PSIKROFILI    p s ih k r ao f ih l ih
PSIKROMETER    p s ih k r ao m ## t ## r
PSIKROMETRI    p s ih k r ao m ## t r ih
PSITAKOSIS    p s ih t aa k ao s ih s
PSORIASIS    p s ao r ih aa s ih s
PTERODAKTIL    p t ## r ao d aa k t ih l
PTEROPODA    p t ## r ao p ao d aa
PTIALIN    p t ih aa l ih n
PTOMAINA    p t ao m ## n aa
PUADAI    p uw aa d ##
PUAH    p uw aa hh
PUAK    p uw aa k
PUAKA    p uw aa k aa
PUAL    p uw aa l
PUALAM    p uw aa l aa m
PUAN    p uw aa n
PUAS    p uw aa s
PUASA    p uw aa s aa
PUATANG    p uw aa t aa ng
PUB    p uw b
PUBER    p uw b ## r
PUBERTAS    p uw b ## r t aa s
PUBESENS    p uw b ## s ## n s
PUBLIK    p uw b l ih k
PUBLIKASI    p uw b l ih k aa s ih
PUBLISIS    p uw b l ih s ih s
PUBLISISTIK    p uw b l ih s ih s t ih k
PUBLISITAS    p uw b l ih s ih t aa s
PUCANG    p uw ch aa ng
PUCAT    p uw ch aa t
PUCIK    p uw ch ih k
PUCUK    p uw ch uw k
PUCUNG    p uw ch uw ng
PUDAR    p uw d aa r
PUDAT    p uw d aa t
PUDEL    p uw d ## l
PUDER    p uw d ## r
PUDI    p uw d ih
PUDING    p uw d ih ng
PUDUR    p uw d uw r
PUERPERA    p uw ## r p ## r aa
PUERPERIUM    p uw ## r p ## r ih uw m
PUGAK    p uw g aa k
PUGAR    p uw g aa r
PUGAS    p uw g aa s
PUGUH    p uw g uw hh
PUIH    p uw ih hh
PUING    p uw ih ng
PUISI    p uw ih s ih
PUITIS    p uw ih t ih s
PUITISASI    p uw ih t ih s aa s ih
PUJA    p uw jh aa
PUJANGGA    p uw jh aa ng g aa
PUJI    p uw jh ih
PUJUK    p uw jh uw k
PUJUR    p uw jh uw r
PUJUT    p uw jh uw t
PUKAH    p uw k aa hh
PUKAL    p uw k aa l
PUKANG    p uw k aa ng
PUKAS    p uw k aa s
PUKAT    p uw k aa t
PUKAU    p uw k ##
PUKI    p uw k ih
PUKUL    p uw k uw l
PUL    p uw l
PULA    p uw l aa
PULAI    p uw l ##
PULAN    p uw l aa n
PULANG    p uw l aa ng
PULAS    p uw l aa s
PULASAN    p uw l aa s aa n
PULASARI    p uw l aa s aa r ih
PULAU    p uw l ##
PULEN    p uw l ## n
PULIH    p uw l ih hh
PULIK    p uw l ih k
PULOVER    p uw l ao f ## r
PULP    p uw l p
PULPA    p uw l p aa
PULPEN    p uw l p ## n
PULPER    p uw l p ## r
PULSA    p uw l s aa
PULSAR    p uw l s aa r
PULSASI    p uw l s aa s ih
PULUH    p uw l uw hh
PULUN    p uw l uw n
PULUNG    p uw l uw ng
PULUT    p uw l uw t
PUMA    p uw m aa
PUMPUN    p uw m p uw n
PUN    p uw n
PUNAH    p uw n aa hh
PUNAI    p uw n ##
PUNAKAWAN    p uw n aa k aa w aa n
PUNAR    p uw n aa r
PUNAT    p uw n aa t
PUNCA    p uw n ch aa
PUNCAK    p uw n ch aa k
PUNCI    p uw n ch ih
PUNDAK    p uw n d aa k
PUNDEN    p uw n d ## n
PUNDI    p uw n d ih
PUNDING    p uw n d ih ng
PUNDUH    p uw n d uw hh
PUNDUK    p uw n d uw k
PUNDUNG    p uw n d uw ng
PUNG    p uw ng
PUNGAK-PINGUK    p uw ng aa k p ih ng uw k
PUNGGAH    p uw ng g aa hh
PUNGGAI    p uw ng g ##
PUNGGAL    p uw ng g aa l
PUNGGAWA    p uw ng g aa w aa
PUNGGUK    p uw ng g uw k
PUNGGUNG    p uw ng g uw ng
PUNGGUR    p uw ng g uw r
PUNGKAH    p uw ng k aa hh
PUNGKANG    p uw ng k aa ng
PUNGKAS    p uw ng k aa s
PUNGKUR    p uw ng k uw r
PUNGLI    p uw ng l ih
PUNGSI    p uw ng s ih
PUNGTUASI    p uw ng t uw aa s ih
PUNGUK    p uw ng uw k
PUNGUT    p uw ng uw t
PUNIA    p uw n ih aa
PUNJUL    p uw n jh uw l
PUNJUNG    p uw n jh uw ng
PUNJUT    p uw n jh uw t
PUNK    p uw n k
PUNTAL    p uw n t aa l
PUNTI    p uw n t ih
PUNTIANAK    p uw n t ih aa n aa k
PUNTIR    p uw n t ih r
PUNTUK    p uw n t uw k
PUNTUL    p uw n t uw l
PUNTUNG    p uw n t uw ng
PUNUK    p uw n uw k
PUNYA    p uw ny aa
PUPA    p uw p aa
PUPIL    p uw p ih l
PUPU    p uw p uw
PUPUAN    p uw p uw aa n
PUPUH    p uw p uw hh
PUPUK    p uw p uw k
PUPUR    p uw p uw r
PUPUS    p uw p uw s
PUPUT    p uw p uw t
PURA    p uw r aa
PURA-PURA    p uw r aa p uw r aa
PURBA    p uw r b aa
PURBAKALA    p uw r b aa k aa l aa
PURBANI    p uw r b aa n ih
PURBASANGKA    p uw r b aa s aa ng k aa
PURBAWISESA    p uw r b aa w ih s ## s aa
PURDAH    p uw r d aa hh
PURE    p uw r ##
PURGATIF    p uw r g aa t ih f
PURI    p uw r ih
PURIFIKASI    p uw r ih f ih k aa s ih
PURIK    p uw r ih k
PURING    p uw r ih ng
PURIS    p uw r ih s
PURISME    p uw r ih s m ##
PURISTIS    p uw r ih s t ih s
PURITAN    p uw r ih t aa n
PURITANISME    p uw r ih t aa n ih s m ##
PURNA    p uw r n aa
PURNABAKTI    p uw r n aa b aa k t ih
PURNAINTEGRASI    p uw r n ## n t ## g r aa s ih
PURNAJABATAN    p uw r n aa jh aa b aa t aa n
PURNAJUAL    p uw r n aa jh uw aa l
PURNAKARYA    p uw r n aa k aa r y aa
PURNAKARYAWAN    p uw r n aa k aa r y aa w aa n
PURNAMA    p uw r n aa m aa
PURNAPUGAR    p uw r n aa p uw g aa r
PURNASARJANA    p uw r n aa s aa r jh aa n aa
PURNATUGAS    p uw r n aa t uw g aa s
PURNAWAKTU    p uw r n aa w aa k t uw
PURNAWIRAWAN    p uw r n aa w ih r aa w aa n
PURPURA    p uw r p uw r aa
PURSER    p uw r s ## r
PURU    p uw r uw
PURUK    p uw r uw k
PURUK-PARAK    p uw r uw k p aa r aa k
PURUN    p uw r uw n
PURUS    p uw r uw s
PURUSA    p uw r uw s aa
PURUT    p uw r uw t
PURWA    p uw r w aa
PURWAKANTI    p uw r w aa k aa n t ih
PURWAPADA    p uw r w aa p aa d aa
PURWARUPA    p uw r w aa r uw p aa
PUS    p uw s
PUSA    p uw s aa
PUSAK    p uw s aa k
PUSAKA    p uw s aa k aa
PUSANG    p uw s aa ng
PUSAR    p uw s aa r
PUSARA    p uw s aa r aa
PUSAT    p uw s aa t
PUSER    p uw s ## r
PUSING    p uw s ih ng
PUSKESMAS    p uw s k ## s m aa s
PUSO    p uw s ao
PUSPA    p uw s p aa
PUSPADANA    p uw s p aa d aa n aa
PUSPADANTA    p uw s p aa d aa n t aa
PUSPAMALA    p uw s p aa m aa l aa
PUSPARAGAM    p uw s p aa r aa g aa m
PUSPAS    p uw s p aa s
PUSPAWARNA    p uw s p aa w aa r n aa
PUSPITA    p uw s p ih t aa
PUSTA    p uw s t aa
PUSTAHA    p uw s t aa hh aa
PUSTAKA    p uw s t aa k aa
PUSTAKALOKA    p uw s t aa k aa l ao k aa
PUSTAKAWAN    p uw s t aa k aa w aa n
PUSU    p uw s uw
PUSUNG    p uw s uw ng
PUSUT    p uw s uw t
PUTAR    p uw t aa r
PUTAT    p uw t aa t
PUTER    p uw t ## r
PUTI    p uw t ih
PUTIH    p uw t ih hh
PUTIK    p uw t ih k
PUTING    p uw t ih ng
PUTRA    p uw t r aa
PUTRANDA    p uw t r aa n d aa
PUTRAWALI    p uw t r aa w aa l ih
PUTREFAKSI    p uw t r ## f aa k s ih
PUTRESIN    p uw t r ## s ih n
PUTRI    p uw t r ih
PUTRIDITAS    p uw t r ih d ih t aa s
PUTU    p uw t uw
PUTUS    p uw t uw s
PUTUT    p uw t uw t
PUVI-PUVI    p uw f ih p uw f ih
PUYAN    p uw y aa n
PUYENG    p uw y ## ng
PUYER    p uw y ## r
PUYONGHAI    p uw y ao ng hh ##
PUYU    p uw y uw
PUYUH    p uw y uw hh
Q    k
QAF    k aa f
QARI    k aa r ih
QARIAH    k aa r ih aa hh
QASAR    k aa s aa r
QI    k ih
QIAMULAIL    k ih aa m uw l ## l
QIRAAH    k ih r aa aa hh
QIRAAT    k ih r aa aa t
QUDSI    k uw d s ih
QURAN    k uw r aa n
R    r
RA    r aa
RABA    r aa b aa
RABA-RUBU    r aa b aa r uw b uw
RABAK    r aa b aa k
RABAN    r aa b aa n
RABANA    r aa b aa n aa
RABANI    r aa b aa n ih
RABAS    r aa b aa s
RABAT    r aa b aa t
RABET    r aa b ## t
RABI    r aa b ih
RABIES    r aa b ih ## s
RABIK    r aa b ih k
RABIT    r aa b ih t
RABIULAKHIR    r aa b ih uw l aa hh ih r
RABIULAWAL    r aa b ih uw l aa w aa l
RABOTASE    r aa b ao t aa s ##
RABU    r aa b uw
RABUK    r aa b uw k
RABULIZAT    r aa b uw l ih z aa t
RABUN    r aa b uw n
RABUNG    r aa b uw ng
RABUT    r aa b uw t
RACAK    r aa ch aa k
RACAU    r aa ch ##
RACIK    r aa ch ih k
RACUH    r aa ch uw hh
RACUN    r aa ch uw n
RAD    r aa d
RADA    r aa d aa
RADAAH    r aa d aa aa hh
RADAH    r aa d aa hh
RADAI    r aa d ##
RADAK    r aa d aa k
RADANG    r aa d aa ng
RADAR    r aa d aa r
RADAS    r aa d aa s
RADEN    r aa d ## n
RADES    r aa d ## s
RADI    r aa d ih
RADIAH    r aa d ih aa hh
RADIAL    r aa d ih aa l
RADIAN    r aa d ih aa n
RADIANS    r aa d ih aa n s
RADIASI    r aa d ih aa s ih
RADIATOR    r aa d ih aa t ao r
RADIF    r aa d ih f
RADIKAL    r aa d ih k aa l
RADIKALISASI    r aa d ih k aa l ih s aa s ih
RADIKALISME    r aa d ih k aa l ih s m ##
RADIKS    r aa d ih k s
RADIKULA    r aa d ih k uw l aa
RADIN    r aa d ih n
RADIO    r aa d ih ao
RADIOAKTIF    r aa d ih ao aa k t ih f
RADIOAKTIVITAS    r aa d ih ao aa k t ih f ih t aa s
RADIOGENETIKA    r aa d ih ao g ## n ## t ih k aa
RADIOGONIOMETER    r aa d ih ao g ao n ih ao m ## t ## r
RADIOGONIOMETRI    r aa d ih ao g ao n ih ao m ## t r ih
RADIOGRAF    r aa d ih ao g r aa f
RADIOGRAFI    r aa d ih ao g r aa f ih
RADIOGRAM    r aa d ih ao g r aa m
RADIOISOTOP    r aa d ih ## s ao t ao p
RADIOKARBON    r aa d ih ao k aa r b ao n
RADIOKIMIA    r aa d ih ao k ih m ih aa
RADIOLISIS    r aa d ih ao l ih s ih s
RADIOLOG    r aa d ih ao l ao g
RADIOLOGI    r aa d ih ao l ao g ih
RADIOLOKASI    r aa d ih ao l ao k aa s ih
RADIOMETER    r aa d ih ao m ## t ## r
RADIOSONDE    r aa d ih ao s ao n d ##
RADIOTELEFONI    r aa d ih ao t ## l ## f ao n ih
RADIOTELEGRAFI    r aa d ih ao t ## l ## g r aa f ih
RADIOTELEGRAFIS    r aa d ih ao t ## l ## g r aa f ih s
RADIOTERAPI    r aa d ih ao t ## r aa p ih
RADIS    r aa d ih s
RADIUM    r aa d ih uw m
RADIUS    r aa d ih uw s
RADON    r aa d ao n
RADU    r aa d uw
RADURISASI    r aa d uw r ih s aa s ih
RAFAK    r aa f aa k
RAFAKSI    r aa f aa k s ih
RAFE    r aa f ##
RAFI    r aa f ih
RAFIA    r aa f ih aa
RAFIDI    r aa f ih d ih
RAFIK    r aa f ih k
RAFLESIA    r aa f l ## s ih aa
RAGA    r aa g aa
RAGAM    r aa g aa m
RAGANG    r aa g aa ng
RAGAS    r aa g aa s
RAGAWI    r aa g aa w ih
RAGI    r aa g ih
RAGIB    r aa g ih b
RAGIL    r aa g ih l
RAGU    r aa g uw
RAGUK    r aa g uw k
RAGUM    r aa g uw m
RAGUNG    r aa g uw ng
RAGUT    r aa g uw t
RAHAK    r aa hh aa k
RAHANG    r aa hh aa ng
RAHAP    r aa hh aa p
RAHARJA    r aa hh aa r jh aa
RAHASIA    r aa hh aa s ih aa
RAHAT    r aa hh aa t
RAHAYU    r aa hh aa y uw
RAHIB    r aa hh ih b
RAHIM    r aa hh ih m
RAHIMAKALLAH    r aa hh ih m aa k aa l l aa hh
RAHIMAKUMULLAH    r aa hh ih m aa k uw m uw l l aa hh
RAHMAH    r aa hh m aa hh
RAHMAN    r aa hh m aa n
RAHMAT    r aa hh m aa t
RAHMATULLAH    r aa hh m aa t uw l l aa hh
RAHU    r aa hh uw
RAI    r ##
RAIB    r ## b
RAIGEDEG    r ## g ## d ## g
RAIH    r ## hh
RAIMUNA    r ## m uw n aa
RAIS    r ## s
RAJA    r aa jh aa
RAJAB    r aa jh aa b
RAJABIAH    r aa jh aa b ih aa hh
RAJAH    r aa jh aa hh
RAJALELA    r aa jh aa l ## l aa
RAJAM    r aa jh aa m
RAJANG    r aa jh aa ng
RAJAPATI    r aa jh aa p aa t ih
RAJAWALI    r aa jh aa w aa l ih
RAJIM    r aa jh ih m
RAJIN    r aa jh ih n
RAJOK    r aa jh ao k
RAJUK    r aa jh uw k
RAJUL    r aa jh uw l
RAJUNGAN    r aa jh uw ng aa n
RAJUT    r aa jh uw t
RAK    r aa k
RAKA    r aa k aa
RAKAAT    r aa k aa aa t
RAKAH    r aa k aa hh
RAKANITA    r aa k aa n ih t aa
RAKAP    r aa k aa p
RAKAT    r aa k aa t
RAKAWATI    r aa k aa w aa t ih
RAKAWIRA    r aa k aa w ih r aa
RAKBOL    r aa k b ao l
RAKET    r aa k ## t
RAKILA    r aa k ih l aa
RAKIS    r aa k ih s
RAKIT    r aa k ih t
RAKITIS    r aa k ih t ih s
RAKNA    r aa k n aa
RAKSA    r aa k s aa
RAKSABUMI    r aa k s aa b uw m ih
RAKSASA    r aa k s aa s aa
RAKSI    r aa k s ih
RAKUK    r aa k uw k
RAKUNG    r aa k uw ng
RAKUS    r aa k uw s
RAKUT    r aa k uw t
RAKYAT    r aa k y aa t
RAKYU    r aa k y uw
RALAT    r aa l aa t
RALIP    r aa l ih p
RAM    r aa m
RAMA    r aa m aa
RAMA-RAMA    r aa m aa r aa m aa
RAMADAN    r aa m aa d aa n
RAMAH    r aa m aa hh
RAMAI    r aa m ##
RAMAL    r aa m aa l
RAMANDA    r aa m aa n d aa
RAMANIA    r aa m aa n ih aa
RAMBAH    r aa m b aa hh
RAMBAI    r aa m b ##
RAMBAK    r aa m b aa k
RAMBAN    r aa m b aa n
RAMBANG    r aa m b aa ng
RAMBAT    r aa m b aa t
RAMBEH    r aa m b ## hh
RAMBIH    r aa m b ih hh
RAMBU    r aa m b uw
RAMBUN    r aa m b uw n
RAMBUNG    r aa m b uw ng
RAMBUT    r aa m b uw t
RAMBUTAN    r aa m b uw t aa n
RAMBUTI    r aa m b uw t ih
RAMES    r aa m ## s
RAMI    r aa m ih
RAMIN    r aa m ih n
RAMIREZI    r aa m ih r ## z ih
RAMPA    r aa m p aa
RAMPAI    r aa m p ##
RAMPAK    r aa m p aa k
RAMPANG    r aa m p aa ng
RAMPAS    r aa m p aa s
RAMPAT    r aa m p aa t
RAMPING    r aa m p ih ng
RAMPOK    r aa m p ao k
RAMPUH    r aa m p uw hh
RAMPUNG    r aa m p uw ng
RAMPUS    r aa m p uw s
RAMU    r aa m uw
RAMUS    r aa m uw s
RANA    r aa n aa
RANAH    r aa n aa hh
RANAI    r aa n ##
RANAP    r aa n aa p
RANCA    r aa n ch aa
RANCAH    r aa n ch aa hh
RANCAK    r aa n ch aa k
RANCAM    r aa n ch aa m
RANCANG    r aa n ch aa ng
RANCAP    r aa n ch aa p
RANCAU    r aa n ch ##
RANCU    r aa n ch uw
RANCUNG    r aa n ch uw ng
RANDA    r aa n d aa
RANDA-RONDO    r aa n d aa r ao n d ao
RANDAH    r aa n d aa hh
RANDAI    r aa n d ##
RANDAJAWAN    r aa n d aa jh aa w aa n
RANDAK    r aa n d aa k
RANDAT    r aa n d aa t
RANDAU    r aa n d ##
RANDEK    r aa n d ## k
RANDI    r aa n d ih
RANDU    r aa n d uw
RANDUK    r aa n d uw k
RANDUNG    r aa n d uw ng
RANG    r aa ng
RANGAH    r aa ng aa hh
RANGAI    r aa ng ##
RANGAK    r aa ng aa k
RANGAM    r aa ng aa m
RANGAS    r aa ng aa s
RANGGA    r aa ng g aa
RANGGAH    r aa ng g aa hh
RANGGAK    r aa ng g aa k
RANGGAS    r aa ng g aa s
RANGGEH    r aa ng g ## hh
RANGGI    r aa ng g ih
RANGGIT    r aa ng g ih t
RANGGUL    r aa ng g uw l
RANGGUNG    r aa ng g uw ng
RANGIN    r aa ng ih n
RANGINA    r aa ng ih n aa
RANGKA    r aa ng k aa
RANGKAI    r aa ng k ##
RANGKAK    r aa ng k aa k
RANGKAM    r aa ng k aa m
RANGKANG    r aa ng k aa ng
RANGKAP    r aa ng k aa p
RANGKAYA    r aa ng k aa y aa
RANGKET    r aa ng k ## t
RANGKIANG    r aa ng k ih aa ng
RANGKIK    r aa ng k ih k
RANGKING    r aa ng k ih ng
RANGKIT    r aa ng k ih t
RANGKOK    r aa ng k ao k
RANGKUL    r aa ng k uw l
RANGKUM    r aa ng k uw m
RANGKUNG    r aa ng k uw ng
RANGKUP    r aa ng k uw p
RANGKUS    r aa ng k uw s
RANGKUT    r aa ng k uw t
RANGO-RANGO    r aa ng ao r aa ng ao
RANGRANG    r aa ng r aa ng
RANGRANGAN    r aa ng r aa ng aa n
RANGSANG    r aa ng s aa ng
RANGU    r aa ng uw
RANGUM    r aa ng uw m
RANGUP    r aa ng uw p
RANI    r aa n ih
RANJAH    r aa n jh aa hh
RANJANG    r aa n jh aa ng
RANJAU    r aa n jh ##
RANJI    r aa n jh ih
RANJING    r aa n jh ih ng
RANKINE    r aa n k ih n ##
RANSEL    r aa n s ## l
RANSUM    r aa n s uw m
RANTAI    r aa n t ##
RANTAM    r aa n t aa m
RANTANG    r aa n t aa ng
RANTAS    r aa n t aa s
RANTAU    r aa n t ##
RANTE    r aa n t ##
RANTI    r aa n t ih
RANTING    r aa n t ih ng
RANTUK    r aa n t uw k
RANTUS    r aa n t uw s
RANUM    r aa n uw m
RANYAH    r aa ny aa hh
RANYANG    r aa ny aa ng
RANYAU    r aa ny ##
RANYUN    r aa ny uw n
RAP    r aa p
RAPAH    r aa p aa hh
RAPAI    r aa p ##
RAPAK    r aa p aa k
RAPAL    r aa p aa l
RAPANG    r aa p aa ng
RAPAT    r aa p aa t
RAPEL    r aa p ## l
RAPI    r aa p ih
RAPIAH    r aa p ih aa hh
RAPIK    r aa p ih k
RAPOR    r aa p ao r
RAPSODI    r aa p s ao d ih
RAPU    r aa p uw
RAPUH    r aa p uw hh
RAPUN    r aa p uw n
RAPUNG    r aa p uw ng
RAPUS    r aa p uw s
RARAHA    r aa r aa hh aa
RARAI    r aa r ##
RARAK    r aa r aa k
RARANGAN    r aa r aa ng aa n
RARAS    r aa r aa s
RAS    r aa s
RASA    r aa s aa
RASAI    r aa s ##
RASAM    r aa s aa m
RASAMALA    r aa s aa m aa l aa
RASAN    r aa s aa n
RASAU    r aa s ##
RASBERI    r aa s b ## r ih
RASE    r aa s ##
RASEM    r aa s ## m
RASI    r aa s ih
RASIA    r aa s ih aa
RASIAL    r aa s ih aa l
RASIALIS    r aa s ih aa l ih s
RASIALISME    r aa s ih aa l ih s m ##
RASIAN    r aa s ih aa n
RASIO    r aa s ih ao
RASIONAL    r aa s ih ao n aa l
RASIONALIS    r aa s ih ao n aa l ih s
RASIONALISASI    r aa s ih ao n aa l ih s aa s ih
RASIONALISME    r aa s ih ao n aa l ih s m ##
RASIONALITAS    r aa s ih ao n aa l ih t aa s
RASISME    r aa s ih s m ##
RASTER    r aa s t ## r
RASUK    r aa s uw k
RASUL    r aa s uw l
RASULI    r aa s uw l ih
RASULULLAH    r aa s uw l uw l l aa hh
RASYID    r aa sh ih d
RASYWAH    r aa sh w aa hh
RAT    r aa t
RATA    r aa t aa
RATAH    r aa t aa hh
RATAP    r aa t aa p
RATIB    r aa t ih b
RATIFIKASI    r aa t ih f ih k aa s ih
RATNA    r aa t n aa
RATU    r aa t uw
RATUS    r aa t uw s
RAU    r ##
RAUDAH    r ## d aa hh
RAUDATUL    r ## d aa t uw l
RAUDATULATFAL    r ## d aa t uw l aa t f aa l
RAUM    r ## m
RAUN    r ## n
RAUNG    r ## ng
RAUP    r ## p
RAUT    r ## t
RAWA    r aa w aa
RAWAH    r aa w aa hh
RAWAI    r aa w ##
RAWAK    r aa w aa k
RAWAN    r aa w aa n
RAWANG    r aa w aa ng
RAWAT    r aa w aa t
RAWATIB    r aa w aa t ih b
RAWI    r aa w ih
RAWIN    r aa w ih n
RAWIT    r aa w ih t
RAWON    r aa w ao n
RAWUH    r aa w uw hh
RAYA    r aa y aa
RAYAH    r aa y aa hh
RAYAN    r aa y aa n
RAYANG    r aa y aa ng
RAYAP    r aa y aa p
RAYAU    r aa y ##
RAYON    r aa y ao n
RAYONISASI    r aa y ao n ih s aa s ih
RAYU    r aa y uw
RAZIA    r aa z ih aa
RE    r ##
REAGEN    r ## aa g ## n
REAGENSIA    r ## aa g ## n s ih aa
REAK    r ## aa k
REAKSI    r ## aa k s ih
REAKSIONER    r ## aa k s ih ao n ## r
REAKTAN    r ## aa k t aa n
REAKTANS    r ## aa k t aa n s
REAKTANSI    r ## aa k t aa n s ih
REAKTIF    r ## aa k t ih f
REAKTIVITAS    r ## aa k t ih f ih t aa s
REAKTON    r ## aa k t ao n
REAKTOR    r ## aa k t ao r
REAKTUALISASI    r ## aa k t uw aa l ih s aa s ih
REAL    r ## aa l
REALIS    r ## aa l ih s
REALISASI    r ## aa l ih s aa s ih
REALISME    r ## aa l ih s m ##
REALISTIS    r ## aa l ih s t ih s
REALITAS    r ## aa l ih t aa s
REALOKASI    r ## aa l ao k aa s ih
REALPOLITIK    r ## aa l p ao l ih t ih k
REASURANSI    r ## aa s uw r aa n s ih
REAUMUR    r ## ## m uw r
REBA    r ## b aa
REBAB    r ## b aa b
REBAH    r ## b aa hh
REBAK    r ## b aa k
REBAN    r ## b aa n
REBANA    r ## b aa n aa
REBAS    r ## b aa s
REBAT    r ## b aa t
REBEH    r ## b ## hh
REBEK    r ## b ## k
REBES    r ## b ## s
REBET    r ## b ## t
REBEWES    r ## b ## w ## s
REBOISASI    r ## b ## s aa s ih
REBON    r ## b ao n
REBU    r ## b uw
REBUK    r ## b uw k
REBUNG    r ## b uw ng
REBUS    r ## b uw s
REBUT    r ## b uw t
RECA    r ## ch aa
RECAK    r ## ch aa k
RECEH    r ## ch ## hh
RECET    r ## ch ## t
RECIK    r ## ch ih k
RECOK    r ## ch ao k
RECUP    r ## ch uw p
REDA    r ## d aa
REDAH    r ## d aa hh
REDAKSI    r ## d aa k s ih
REDAKSIONAL    r ## d aa k s ih ao n aa l
REDAKTUR    r ## d aa k t uw r
REDAM    r ## d aa m
REDANG    r ## d aa ng
REDAP    r ## d aa p
REDEFINISI    r ## d ## f ih n ih s ih
REDIH    r ## d ih hh
REDIK    r ## d ih k
REDOKS    r ## d ao k s
REDUKSI    r ## d uw k s ih
REDUKSIONISME    r ## d uw k s ih ao n ih s m ##
REDUM    r ## d uw m
REDUP    r ## d uw p
REDUPLIKASI    r ## d uw p l ih k aa s ih
REDUSIR    r ## d uw s ih r
REDUT    r ## d uw t
REEDUKASI    r ## ## d uw k aa s ih
REEKSPOR    r ## ## k s p ao r
REFERAT    r ## f ## r aa t
REFEREN    r ## f ## r ## n
REFERENDARIS    r ## f ## r ## n d aa r ih s
REFERENDUM    r ## f ## r ## n d uw m
REFERENSI    r ## f ## r ## n s ih
REFERENSIAL    r ## f ## r ## n s ih aa l
REFLASI    r ## f l aa s ih
REFLEKS    r ## f l ## k s
REFLEKSI    r ## f l ## k s ih
REFLEKTIF    r ## f l ## k t ih f
REFLEKTOR    r ## f l ## k t ao r
REFORMASI    r ## f ao r m aa s ih
REFORMIS    r ## f ao r m ih s
REFRAKSI    r ## f r aa k s ih
REFRAKTOMETER    r ## f r aa k t ao m ## t ## r
REFRAKTOR    r ## f r aa k t ao r
REFREIN    r ## f r ## n
REFRIGERATOR    r ## f r ih g ## r aa t ao r
REGAH    r ## g aa hh
REGAN    r ## g aa n
REGANG    r ## g aa ng
REGAS    r ## g aa s
REGAT    r ## g aa t
REGATA    r ## g aa t aa
REGEL    r ## g ## l
REGEN    r ## g ## n
REGENARASI    r ## g ## n aa r aa s ih
REGENERASI    r ## g ## n ## r aa s ih
REGES    r ## g ## s
REGI    r ## g ih
REGIO    r ## g ih ao
REGION    r ## g ih ao n
REGIONAL    r ## g ih ao n aa l
REGIONALISME    r ## g ih ao n aa l ih s m ##
REGISTER    r ## g ih s t ## r
REGISTRASI    r ## g ih s t r aa s ih
REGISUR    r ## g ih s uw r
REGLEMEN    r ## g l ## m ## n
REGLEMENTER    r ## g l ## m ## n t ## r
REGOL    r ## g ao l
REGRESI    r ## g r ## s ih
REGRESIF    r ## g r ## s ih f
REGU    r ## g uw
REGUK    r ## g uw k
REGULARISASI    r ## g uw l aa r ih s aa s ih
REGULASI    r ## g uw l aa s ih
REGULATIF    r ## g uw l aa t ih f
REGULATOR    r ## g uw l aa t ao r
REGULER    r ## g uw l ## r
REGUP    r ## g uw p
REHAB    r ## hh aa b
REHABILITASI    r ## hh aa b ih l ih t aa s ih
REHABILITATIF    r ## hh aa b ih l ih t aa t ih f
REHAL    r ## hh aa l
REHAT    r ## hh aa t
REHIDRASI    r ## hh ih d r aa s ih
REIDEOLOGISASI    r ## d ## ao l ao g ih s aa s ih
REINDOKTRINASI    r ## n d ao k t r ih n aa s ih
REINKARNASI    r ## n k aa r n aa s ih
REINTEGRASI    r ## n t ## g r aa s ih
REINTERPRETASI    r ## n t ## r p r ## t aa s ih
REINVESTASI    r ## n f ## s t aa s ih
REJA    r ## jh aa
REJAB    r ## jh aa b
REJAH    r ## jh aa hh
REJAN    r ## jh aa n
REJANG    r ## jh aa ng
REJASA    r ## jh aa s aa
REJEH    r ## jh ## hh
REJENG    r ## jh ## ng
REJUK    r ## jh uw k
REK    r ## k
REKA    r ## k aa
REKAH    r ## k aa hh
REKAL    r ## k aa l
